id,sender,body,type
0,AD-JLERMY,"Dear 72195751XX,Your Free Rs. 8850 Diwali Welcome Bonus on Junglee Rummy!Prize Pool - 5,00,00,000 (5 Crore)Click: https://1.gmg.im/bcnTpQ",spam
1,51501,G-495502 is your Google verification code.,otp
2,59039211,<#> Your WhatsApp code: 683-600You can also tap on this link to verify your phone: v.whatsapp.com/683600Don't share this code with spams4sgLq1p5sV6,otp
3,AZ-AIRTEL,"90% Alert!: for your daily highspeed data limit. Get 3GB + FREE 2GB (on Airtel Thanks App) at Rs58, valid till current pack. Recharge now i.airtel.in/D58",spam
4,AZ-AIRTEL,"100% ALERT!: for your daily highspeed data limit. Get 3GB + FREE 2GB (on Airtel Thanks App) at Rs58, valid till current pack. Recharge now i.airtel.in/D58",spam
5,CP-GROWWZ,#   Onetime password is : 943526 This OTP is valid for 15 minutes only & usable only once on Groww. T & C apply. hkHMMiIZPc7,otp
6,AD-ARWGOV,"As part of Cyber Swachhta Pakhwada, CERT-In GoI advises you to keep your digital devices bot free. Get bot removal tool at https://www.csk.gov.in",spam
7,AZ-650003,"Expiry alert UL Pack aur Data Top up ke liye: Anand le 1 saal ke Disney+ Hotstar Mobile subscription ka,2GB/din,UL call,28din,Rs499. Sath hi 3GB+ FREE 2GB, Rs58 mein. TnC i.airtel.in/RechargeNow",spam
8,TM-MYNTRA,[#] 0578 is your OTP to login to Myntra. DO NOT share with anyone. MYNTRA never calls to ask for OTP. The otp expires in 10 mins. 0pSLY7DMr7s - Myntra,otp
9,TM-MYNTRA,[#] 2208 is your OTP to login to Myntra. DO NOT share with anyone. MYNTRA never calls to ask for OTP. The otp expires in 10 mins. 0pSLY7DMr7s - Myntra,otp
10,9.16354E+11,GODREJ WOODSVILLE HinjewadiPremium 2 & 3 BHK Homes10:90 Payment PlanSpecial Launch BenefitsSpot Booking Offer.Visit SR7.in/J3A4D-1AE51F990,spam
11,9.18555E+11,I'll call you right back.,spam
12,59039002,Your Uber code is 3502. Never share this code. qlRnn4A1sbt,otp
13,51403,DO NOT SHARE: Your Google Pay OTP is 820830. Message ID: f6f01vO3FNp,otp
14,9.18653E+11,SBIUPI y4OGr1iBQsSy4zW9YBPZBKzn3kayOSXAmKCEkrdxMK1w1kx%2BYYlFqAZj%2FsZLtRAO!22e48dc4a5cac7055b8f6e0fbbb97197eb39a30a9e4082fb546ceffec199d836,spam
15,9.17208E+11,SBIUPI y4OGr1iBQsSy4zW9YBPZBKzn3kayOSXAmKCEkrdxMK1w1kx%2BYYlFqAZj%2FsZLtRAO!22e48dc4a5cac7055b8f6e0fbbb97197eb39a30a9e4082fb546ceffec199d836,spam
16,9.19005E+11,UPIACT t**A*S**3B3&*&W5*Rv4*367&*q8*&666L&T0*2K&TIY3u7*#,spam
17,9.19668E+11,HDFCUPI O9PO7x8QG6ag2dv5py1KNqNp2pk4o7gakXIsDsK6CWQecyjF9sE10GztsTnfjH1d,spam
18,9.17428E+11,JP7 5**X1836Y**FHy80JDI9wGi9u*cLo07Gt*8W4*c9,spam
19,VM-AxisBk,"Registration for Google Pay app has started. Do not share your card details/OTP/CVV to avoid financial loss. If not you, call 18604195555 - Axis Bank",banking
20,9.17428E+11,JP7 hQ18*7TXk02786C63W*12*PfViq*yFG6CSf*ZAAND*6*22G6,spam
21,9.19668E+11,HDFCUPI O9PO7x8QG6ag2dv5py1KNk5Ohq8AWZaYER7xCce1fRP6jymM9uAiY4svkwROE5Y2,banking
22,VD-HDFCBK,"HDFC Bank: You have successfully registered for UPI payment on Google Pay. If not you, please report immediately to your bank. Do not share your card details/OTP/ATM PIN with anyone.",banking
23,VD-HDFCBK,HDFC Bank: UPI payment registration on Google Pay app has begun. If it is not initiated by you please report immediately to your bank to avoid any financial loss,banking
24,QP-ICICIB,Avoid clicking on SMS/WhatsApp links from unknown sources. This may give access to the information available in your mobile device. Stay Vigilant-ICICI Bank.,spam
25,AX-ICICIB,ICICI Bank Acct XX977 debited for Rs 118.00 on 27-Oct-22; KRISHNA SERVICE credited. UPI:230041559429. Call 18002662 for dispute. SMS BLOCK 977 to 9215676766.,banking
26,AZ-AIRTEL,"50% Alert!: for your daily highspeed data limit. Get 12GB data at just Rs118, valid till your current pack. Recharge now i.airtel.in/UnlimitedData-1",spam
27,AY-AIRTEL,Aapka Airtel Pack 30-Oct-22 tak manya hai. Aaj hi unlimited pack se recharge karein. Naye pack ki validity is pack ke baad hi shuri hogi i.airtel.in/FDPNew,spam
28,AZ-AIRTEL,"90% Alert!: for your daily highspeed data limit. Get 3GB + FREE 2GB (on Airtel Thanks App) at Rs58, valid till current pack. Recharge now i.airtel.in/D58",spam
29,AX-PANTLS,"Every Click is rewarding when u shop at Pantaloons!Click tltx.in/GhrCB & Get EXTRA 20% OFF on your shopping, Use Code : PT20EXTRATC on shopping of Rs3500",spam
30,AD-650022,"Dear Anupama Umesh Kavari , You're pre-qualified for Airtel Axis Bank Credit Card with credit limit of up to Rs 500000 and annual cashback of Rs 18000. Apply today i.airtel.in/CC_NTC_90A",spam
31,AY-AIRTEL,Aapke Airtel Pack ki validity 30-Oct-22 tak hai.Recharge na hone par sewayein band ho sakti hain.Recharge karein: i.airtel.in/FDPNew. Kar lia hai toh ignore karein,spam
32,AZ-AIRTEL,"50% Alert!: for your daily highspeed data limit. Get 12GB data at just Rs118, valid till your current pack. Recharge now i.airtel.in/UnlimitedData-1",spam
33,HTSHIN,"Dear Rohan, Celebrate this festival with a new Job and a higher salary. CTC 5-55 Lacs, Go to klr.pw/mADLCc/Team Shine",spam
34,VM-PBHTLH,"Exclusive Rs. 10,00,000 Health Plan that covers your Hosp.+Pharma+Lab Bills. Compare- http://nmc.sg/VjuzcmBVQ Policybazaar Insurance Brokers. T&C",spam
35,AX-JLERMY,"Dear 72195751XX, Rs. 8850 Free Diwali welcome bonus can be credited to your Junglee Rummy account. Download Now & Claim: - https://2.gmg.im/bMXjU2",spam
36,AZ-AIRTEL,"90% Alert!: for your daily highspeed data limit. Get 3GB + FREE 2GB (on Airtel Thanks App) at Rs58, valid till current pack. Recharge now i.airtel.in/D58",spam
37,AZ-AIRINF,"Hi, Payment of Rs. 58.0 done via Upi for your airtel prepaid number 7219575184 has been processed. Order Id: 6991775782172426240. You will receive the order confirmation within 1 hrs. Please keep the Order ID for future reference.",bill
38,AZ-AIRINF,"Hi, Your Prepaid recharge of Rs. 58.0 is success against Order Id 6991775782172426240. Please keep the Order ID for future reference.",bill
39,Airtel,"Recharge of INR 58.00 is successful for your Airtel Mobile on 28-10-2022 20:31, Transaction ID 1731619269.Airtel 5G Plus is now LIVE i.airtel.in/5GAirtelWorld",bill
40,Airtel,Enjoy 3GB data valid till your current pack validity.,spam
41,AZ-AIRINF,"Hi, Payment of Rs. 719.0 done via Upi for your airtel prepaid number 7219575184 has been processed. Order Id: 6991776273441660928. You will receive the order confirmation within 1 hrs. Please keep the Order ID for future reference.",bill
42,AZ-AIRINF,"Hi, Your Prepaid recharge of Rs. 719.0 is success against Order Id 6991776273441660928. Please keep the Order ID for future reference.",bill
43,AD-Airtel," Hi, recharge of Rs. 719 successfully credited to your Airtel number 7219575184, also the validity has been extended till 22-01-2023.",bill
44,Airtel,"Recharge of INR 719.00 is successful for your Airtel Mobile on 28-10-2022 20:33, Transaction ID 1731663454.Airtel 5G Plus is now LIVE i.airtel.in/5GAirtelWorld",bill
45,VK-ICICIB,ICICI Bank Acct XX977 debited for Rs 719.00 on 28-Oct-22; Bharti Airtel L credited. UPI:230120296419. Call 18002662 for dispute. SMS BLOCK 977 to 9215676766.,banking
46,Airtel,"Enjoy unlimited Local, STD & Roaming calls, 1.5GB/day data and 100 SMS. Pack valid for 84 days. Cashback of upto Rs80/month for 3 months with Airtel Mini Rewards123! Click i.airtel.in/Rwards123Also get 1 Xstream channel on Airtel Xstream App for 84 days. To claim, click open.airtelxstream.in/Xstream_Mobile",spam
47,AD-ARTLTV,"Congratulations on your recent recharge of Xstream mobile pack. Enjoy 84 DAYS of access to live sports, blockbusters movies and web-series like College Romance 3,Maharani S2,The Kapil Sharma Show & more on your Airtel Xstream app at no extra cost. To claim your benefit download the latest version of Airtel Xstream app https://open.airtelxstream.in/WCF719",spam
48,AZ-AIRINF,FREE data coupon of 2GB has been credited to your Airtel Mobile account. Claim now before it expires: https://i.airtel.in/ClaimData,spam
49,AZ-AIRINF,FREE data coupon of 2GB has been credited to your Airtel Mobile account. Claim now before it expires: https://i.airtel.in/ClaimData,spam
50,VM-NSESMS,"NEXTBILLION TECHNOLOGY PRIVATE on 08-10-22 reported your Fund bal Rs.0 & Securities bal 0. This excludes your Bank, DP & PMS bal with the broker-NSE",banking
51,AZ-AIRTEL,"100% ALERT!: for your daily highspeed data limit. Get 3GB + FREE 2GB (on Airtel Thanks App) at Rs58, valid till current pack. Recharge now i.airtel.in/D58",spam
52,MYNTRA,[#] 3886 is your OTP to login to Myntra. DO NOT share with anyone. MYNTRA never calls to ask for OTP. The otp expires in 10 mins. 0pSLY7DMr7s - Myntra,otp
53,VK-ICICIB,ICICI Bank Acct XX977 debited for Rs 892.00 on 29-Oct-22; Myntra credited. UPI:230230400177. Call 18002662 for dispute. SMS BLOCK 977 to 9215676766.,banking
54,AZ-650006,"Disney+ Hotstar par T20 world cup dekhna na bhulein!Recharge kare Airtel ke Rs.499 pack se aur paye Disney+ Hotstar ka 1 saal ka subscription,2GB/din,UL call,28dini.airtel.in/499HS",spam
55,AX-SIMPLI,"Dear Rohan,Upskill without placement worries holding you back. Get a 100% Job Guaranteed with Simplilearn programs. Enroll nowweurl.co/UobaMZ",spam
56,AD-MAKINO,Alert:Your resume has been reviewed by our company and salary is 9700 RS. https://api.whatsapp.com/send?phone=919163139865 MAKINO,spam
57,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs10000.0 on 29Oct22 transfer to IndianClearingCorp Ref No 230280515987. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
58,AD-SBIUPI,"Dear SBI User, your A/c X7819-debited by Rs7500.0 on 29Oct22 transfer to IndianClearingCorp Ref No 230280615969. If not done by u, fwd this SMS to 9223008333/Call 1800111109 or 09449112211 to block UPI -SBI",banking
